match_id,date,season,venue,winner,win_by,match_type,player_of_match,umpire_1,umpire_2,inning1_runs,inning1_wickets,inning1_extras,inning1_pp_runs,inning1_death_runs,team1,inning2_runs,inning2_wickets,inning2_extras,inning2_pp_runs,inning2_death_runs,team2,target,run_diff,team1_win_rate,team2_win_rate,h2h_team1_win_rate,team1_recent_form,team2_recent_form,venue_team1_win_rate,team1_avg_inning1
959175,2016-02-04,2016,Dubai International Cricket Stadium,Quetta Gladiators,wickets 8,regular,Mohammad Nawaz (3),JS Wilson,Shozab Raza,128,7,4,22,51,Islamabad United,132.0,2.0,5.0,58.0,0.0,Quetta Gladiators,0,-4.0,0.5,0.5,0.5,0.5,0.5,0.5,150.0
959177,2016-02-05,2016,Dubai International Cricket Stadium,Karachi Kings,wickets 7,regular,Shakib Al Hasan,JS Wilson,Rashid Riaz,125,8,9,38,27,Lahore Qalandars,131.0,3.0,3.0,57.0,0.0,Karachi Kings,0,-6.0,0.5,0.5,0.5,0.5,0.5,0.5,128.0
959179,2016-02-05,2016,Dubai International Cricket Stadium,Peshawar Zalmi,runs 24,regular,Mohammad Asghar,Shozab Raza,Rashid Riaz,145,7,17,34,44,Peshawar Zalmi,121.0,9.0,11.0,41.0,18.0,Islamabad United,1,24.0,0.5,0.0,0.5,0.5,0.0,0.5,126.5
959181,2016-02-06,2016,Dubai International Cricket Stadium,Quetta Gladiators,wickets 8,regular,Ahmed Shehzad,Shozab Raza,Rashid Riaz,147,7,11,30,44,Karachi Kings,153.0,2.0,4.0,39.0,15.0,Quetta Gladiators,0,-6.0,1.0,1.0,0.5,1.0,1.0,1.0,132.66666666666666
959183,2016-02-06,2016,Dubai International Cricket Stadium,Peshawar Zalmi,wickets 9,regular,Tamim Iqbal,JS Wilson,Rashid Riaz,117,6,6,27,41,Lahore Qalandars,118.0,1.0,10.0,43.0,0.0,Peshawar Zalmi,0,-1.0,0.0,1.0,0.5,0.0,1.0,0.0,125.0
959185,2016-02-07,2016,Dubai International Cricket Stadium,Islamabad United,runs 2,regular,Saeed Ajmal,JS Wilson,Rashid Riaz,132,8,4,49,35,Islamabad United,130.0,9.0,5.0,35.0,40.0,Karachi Kings,1,2.0,0.0,0.5,0.5,0.0,0.5,0.0,128.0
959187,2016-02-07,2016,Dubai International Cricket Stadium,Quetta Gladiators,wickets 3,regular,Mohammad Nawaz (3),Shozab Raza,Rashid Riaz,135,7,8,29,43,Peshawar Zalmi,139.0,7.0,10.0,44.0,30.0,Quetta Gladiators,0,-4.0,1.0,1.0,0.5,1.0,1.0,1.0,145.0
959189,2016-02-08,2016,Dubai International Cricket Stadium,Lahore Qalandars,runs 63,regular,Umar Akmal,JS Wilson,Aleem Dar,194,3,3,34,44,Lahore Qalandars,131.0,10.0,11.0,42.0,2.0,Quetta Gladiators,1,63.0,0.0,1.0,0.5,0.0,1.0,0.0,121.0
959191,2016-02-10,2016,Sharjah Cricket Stadium,Islamabad United,wickets 8,regular,Sharjeel Khan,JS Wilson,Aleem Dar,166,6,9,46,47,Lahore Qalandars,169.0,2.0,9.0,58.0,0.0,Islamabad United,0,-3.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,145.33333333333334
959195,2016-02-11,2016,Sharjah Cricket Stadium,Quetta Gladiators,wickets 7,regular,GD Elliott,JS Wilson,Aleem Dar,117,10,3,54,18,Islamabad United,118.0,3.0,7.0,46.0,2.0,Quetta Gladiators,0,-1.0,0.5,0.75,0.0,0.5,0.75,1.0,130.0
959197,2016-02-12,2016,Sharjah Cricket Stadium,Karachi Kings,runs 27,regular,RS Bopara,JS Wilson,Aleem Dar,178,5,8,49,56,Karachi Kings,151.0,8.0,7.0,43.0,29.0,Lahore Qalandars,1,27.0,0.3333333333333333,0.25,1.0,0.3333333333333333,0.25,0.5,147.0
959199,2016-02-12,2016,Sharjah Cricket Stadium,Peshawar Zalmi,wickets 7,regular,Tamim Iqbal,Shozab Raza,Rashid Riaz,152,6,7,36,31,Islamabad United,153.0,3.0,4.0,48.0,27.0,Peshawar Zalmi,0,-1.0,0.4,0.6666666666666666,0.0,0.4,0.6666666666666666,0.5,125.66666666666667
959203,2016-02-13,2016,Sharjah Cricket Stadium,Lahore Qalandars,runs 4,regular,CS Delport,JS Wilson,Aleem Dar,164,3,8,41,44,Lahore Qalandars,160.0,7.0,15.0,54.0,25.0,Peshawar Zalmi,1,4.0,0.2,0.75,0.0,0.2,0.75,0.0,150.5
959201,2016-02-13,2016,Sharjah Cricket Stadium,Quetta Gladiators,wickets 5,regular,GD Elliott,Shozab Raza,Rashid Riaz,126,9,5,49,25,Karachi Kings,127.0,5.0,4.0,47.0,15.0,Quetta Gladiators,0,-1.0,0.5,0.8,0.0,0.5,0.8,1.0,162.5
959205,2016-02-14,2016,Sharjah Cricket Stadium,Islamabad United,wickets 5,regular,Imran Khalid,JS Wilson,Aleem Dar,128,5,7,32,29,Karachi Kings,131.0,5.0,8.0,32.0,34.0,Islamabad United,0,-3.0,0.4,0.3333333333333333,0.0,0.4,0.4,0.5,150.33333333333334
959207,2016-02-14,2016,Sharjah Cricket Stadium,Peshawar Zalmi,wickets 8,regular,Shahid Afridi,Ahmed Shahab,Shozab Raza,129,10,14,44,20,Quetta Gladiators,130.0,2.0,14.0,41.0,18.0,Peshawar Zalmi,0,-1.0,0.8333333333333334,0.6,1.0,0.8,0.6,1.0,143.6
959209,2016-02-16,2016,Dubai International Cricket Stadium,Quetta Gladiators,wickets 2,regular,Bismillah Khan,JS Wilson,Aleem Dar,201,2,5,61,57,Lahore Qalandars,203.0,8.0,12.0,77.0,40.0,Quetta Gladiators,0,-2.0,0.3333333333333333,0.7142857142857143,1.0,0.4,0.6,0.3333333333333333,153.2
959211,2016-02-17,2016,Dubai International Cricket Stadium,Peshawar Zalmi,wickets 5,regular,BJ Hodge,Shozab Raza,Ahsan Raza,152,7,9,42,33,Karachi Kings,158.0,5.0,6.0,32.0,37.0,Peshawar Zalmi,0,-6.0,0.3333333333333333,0.6666666666666666,0.5,0.2,0.6,0.3333333333333333,144.75
959213,2016-02-17,2016,Dubai International Cricket Stadium,Islamabad United,wickets 5,regular,Mohammad Irfan,JS Wilson,Aleem Dar,150,5,6,28,47,Lahore Qalandars,151.0,5.0,3.0,48.0,25.0,Islamabad United,0,-1.0,0.2857142857142857,0.42857142857142855,0.0,0.4,0.6,0.25,161.16666666666666
959215,2016-02-19,2016,Dubai International Cricket Stadium,Quetta Gladiators,runs 1,qualifier,Mohammad Nawaz (3),Shozab Raza,Aleem Dar,133,10,10,35,14,Quetta Gladiators,132.0,9.0,10.0,32.0,43.0,Peshawar Zalmi,1,1.0,0.75,0.7142857142857143,0.5,0.6,0.6,0.8,129.0
959217,2016-02-20,2016,Dubai International Cricket Stadium,Islamabad United,wickets 9,qualifier,Mohammad Sami,Aleem Dar,Ahsan Raza,111,9,12,29,24,Karachi Kings,115.0,1.0,4.0,38.0,0.0,Islamabad United,0,-4.0,0.2857142857142857,0.5,0.0,0.2,0.6,0.25,146.2
959219,2016-02-21,2016,Dubai International Cricket Stadium,Islamabad United,runs 50,qualifier,Sharjeel Khan,JS Wilson,Aleem Dar,176,3,12,36,36,Islamabad United,126.0,10.0,8.0,34.0,22.0,Peshawar Zalmi,1,50.0,0.5555555555555556,0.625,0.0,0.6,0.6,0.6,132.25
959221,2016-02-23,2016,Dubai International Cricket Stadium,Islamabad United,wickets 6,final,DR Smith,JS Wilson,Aleem Dar,174,7,2,36,34,Quetta Gladiators,175.0,4.0,5.0,55.0,28.0,Islamabad United,0,-1.0,0.7777777777777778,0.6,1.0,0.8,0.8,0.8333333333333334,131.0
1075986,2017-02-09,2017,Dubai International Cricket Stadium,Islamabad United,wickets 7,regular,BJ Haddin,Ahsan Raza,Shozab Raza,190,9,15,52,39,Peshawar Zalmi,175.0,3.0,13.0,43.0,28.0,Islamabad United,0,15.0,0.5555555555555556,0.6363636363636364,0.6666666666666666,0.4,1.0,0.5,140.0
1075987,2017-02-10,2017,Dubai International Cricket Stadium,Quetta Gladiators,runs 8,regular,Hassan Khan,Rashid Riaz,Shozab Raza,136,9,6,26,35,Quetta Gladiators,128.0,10.0,3.0,57.0,13.0,Lahore Qalandars,1,8.0,0.7,0.25,0.5,0.6,0.2,0.7142857142857143,145.33333333333334
