match_id,season,venue,batting_team_inn1,bowling_team_inn1,inn1_total_runs,inn1_wickets,inn1_extras,inn1_boundaries,inn1_sixes,inn1_fours,inn1_dot_balls,inn1_pp_runs,inn1_pp_wickets,inn1_death_runs,inn1_death_wickets,inn2_total_runs,inn2_wickets,winner,target,batting_team_enc,bowling_team_enc,venue_enc,inn1_run_rate,inn1_boundary_pct,inn1_dot_ball_pct,pp_run_rate,death_run_rate
959175,2016,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,128,7,4,14,4,10,63,21,1,66,2,132,2,Quetta Gladiators,0,0,5,0,6.4,11.67,52.5,3.5,13.2
959177,2016,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,125,8,9,11,2,9,54,37,2,45,4,131,3,Karachi Kings,0,2,1,0,6.25,9.17,45.0,6.17,9.0
959179,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United,145,7,17,13,3,10,54,31,1,57,4,121,9,Peshawar Zalmi,1,4,0,0,7.25,10.83,45.0,5.17,11.4
959181,2016,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators,147,7,11,12,3,9,46,29,1,63,3,153,2,Quetta Gladiators,0,1,5,0,7.35,10.0,38.33,4.83,12.6
959183,2016,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,117,6,6,12,1,11,61,20,3,54,2,118,1,Peshawar Zalmi,0,2,4,0,5.85,10.0,50.83,3.33,10.8
959185,2016,Dubai International Cricket Stadium,Islamabad United,Karachi Kings,132,8,4,12,5,7,55,42,1,43,5,130,9,Islamabad United,1,0,1,0,6.6,10.0,45.83,7.0,8.6
959187,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,135,7,8,10,5,5,60,24,2,68,2,139,7,Quetta Gladiators,0,4,5,0,6.75,8.33,50.0,4.0,13.6
959189,2016,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators,194,3,3,28,12,16,45,29,0,76,2,131,10,Lahore Qalandars,1,2,5,0,9.7,23.33,37.5,4.83,15.2
959191,2016,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United,166,6,9,21,6,15,48,36,1,66,2,169,2,Islamabad United,0,2,0,7,8.3,17.5,40.0,6.0,13.2
959195,2016,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators,117,10,3,11,6,5,55,39,1,31,4,118,3,Quetta Gladiators,0,0,5,7,5.85,9.17,45.83,6.5,6.2
959197,2016,Sharjah Cricket Stadium,Karachi Kings,Lahore Qalandars,178,5,8,18,9,9,44,37,0,73,2,151,8,Karachi Kings,1,1,2,7,8.9,15.0,36.67,6.17,14.6
959199,2016,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi,152,6,7,18,8,10,55,28,1,44,4,153,3,Peshawar Zalmi,0,0,4,7,7.6,15.0,45.83,4.67,8.8
